hours; total             ; analyzed         ; missing          ; relation_number ; proportion         ; rep               ; row_number ; weight_sum        ; relation_number 
0;0.17153063;0;0;0;0;              NULL ;1;0.208287194;1
0.25;238811.2436;23950.42272;38350.27384;23;0.10029018;0.384432664;9211;238811.2436;4006
0.5;470452.4955;34172.88487;28309.61211;43;0.072638333;0.546919322;15178;470452.4955;5629
0.75;766631.241;62892.11049;60568.07592;59;0.082036978;0.509412081;20556;766631.241;7232
1;1003490.956;122573.192;79855.68497;76;0.122146783;0.605512385;22589;1003490.956;7794
1.25;1249236.704;153574.6879;84761.04176;84;0.122934819;0.644362841;25484;1249236.704;8520
1.5;1543108.437;187615.8991;130296.4624;91;0.121583095;0.590149745;28939;1543108.437;9442
1.75;1858503.812;212284.4845;141457.6546;102;0.114223325;0.600110818;32798;1858503.812;10812
2;2129373.219;255954.0979;195844.1932;115;0.120201614;0.566522944;35732;2129373.219;11633
2.25;2302273.999;307980.9373;208405.5753;122;0.133772495;0.596415533;36889;2302273.999;11931
2.5;2536969.741;437281.1516;270761.1016;138;0.172363566;0.617591888;41076;2536969.741;12980
2.75;2764191.027;440757.6719;229917.3984;148;0.159452682;0.657185113;43844;2764191.027;13549
3;3010527.453;470866.931;241867.1629;176;0.156406789;0.66064881;49616;3010527.453;14387
3.25;3322921.777;511867.3868;357976.7607;187;0.154041359;0.588458735;52000;3322931.847;14999
3.5;3507856.669;570424.7979;427277.7481;201;0.162613485;0.57173834;53904;3507856.669;15441
3.75;3803248.578;612573.9507;427811.9972;214;0.161065978;0.58879491;55418;3803248.578;16012
4;4055549.524;659155.5679;470709.3424;218;0.162531752;0.583393255;56841;4055549.524;16316
4.25;4375292.557;718991.0178;556057.4985;232;0.164329815;0.563893066;59230;4375292.557;16814
4.5;4617551.278;771116.2553;584728.3239;239;0.166996793;0.568734992;60615;4617551.278;17061
4.75;4935056.716;801821.3617;596180.419;246;0.162474599;0.573548169;62591;4935056.716;17467
5;5188890.967;880025.6792;892586.6139;254;0.169598029;0.496456942;64361;5188891.31;17839
5.25;5486282.509;933848.8551;1075449.554;264;0.170215233;0.464763646;66222;5486282.509;18191
5.5;5766624.134;991165.5964;1170676.847;273;0.171879695;0.458481884;68248;5766624.134;18790
5.75;6066198.032;1057887.166;1207565.755;286;0.174390477;0.466964975;69354;6066198.032;18969
6;6317614.397;1099787.4;1234424.547;289;0.174082704;0.471160042;70691;6317614.397;19132
6.25;6597009.271;1123196.981;1285928.301;300;0.170258512;0.466226057;72117;6597009.271;19465
6.5;6925973.983;1202342.595;1276348.207;309;0.173599063;0.485071633;73682;6925973.983;19794
6.75;7269473.214;1242459.027;1385983.556;320;0.170914589;0.4726978;75545;7269473.214;20127
7;7482828.343;1278953.002;1562003.454;330;0.170918394;0.450183951;76740;7482828.343;20379
7.25;7769932.943;1324872.511;1597143.912;338;0.170512734;0.453410357;78518;7770136.878;20553
7.5;7988438.181;1427766.413;1632025.324;341;0.178729106;0.466622089;79712;7988438.181;20781
7.75;8252717.57;1516727.276;1896842.915;347;0.183785191;0.444322862;80921;8252717.57;20992
8;8436790.938;1541358.265;1973513.744;347;0.182694851;0.43852472;81620;8436790.938;21112
8.25;8770919.55;1623741.473;2046160.359;355;0.185127849;0.442448204;82689;8770936.753;21292
8.5;9027818.848;1659950.787;2114247.414;358;0.183870635;0.439815478;84505;9027818.848;21674
8.75;9351964.019;1727213.005;2192217.641;372;0.184689868;0.440679568;85642;9351964.019;21835
9;9577859.416;1764382.639;2733381.33;374;0.184214715;0.392279953;86302;9577859.416;21978
9.25;9902341.8;1824104.13;3446028.536;388;0.184209368;0.346121103;91130;9902997.802;22245
9.5;10184563.1;1884098.372;3521197.256;401;0.184995503;0.348565278;92830;10184563.1;22567
9.75;10483011.61;1930515.034;3447813.344;412;0.184156529;0.358943318;95290;10483287.86;22813
10;10822536.98;1988286.226;3417295.738;431;0.183717203;0.367820938;96802;10822536.98;23033
10.25;11181212.8;1989325.23;3421700.063;439;0.177916767;0.367642937;98621;11181212.8;23292
10.5;11532291.65;2016967.643;3496203.029;448;0.174897384;0.365845312;99962;11532291.7;23515
10.75;11989068.28;2084020.157;3743158.769;457;0.173826698;0.357637921;102137;11989068.28;24000
11;12451243.77;2200694.392;3921125.489;467;0.176744945;0.359483689;103472;12451243.77;24228
11.25;12890220.92;2312737.457;4014991.916;476;0.179417985;0.365492473;105790;12890220.92;24644
11.5;13353649.31;2382035.836;4311951.478;486;0.178380889;0.35584708;107390;13353649.31;24884
11.75;13924658.54;2451637.321;4142515.582;499;0.176064448;0.371789577;109838;13924658.91;25303
12;14364967.78;2530987.506;4233969.734;510;0.176191659;0.374132077;111224;14364967.78;25595
12.25;14799589.77;2654927.609;4442337.374;524;0.179391973;0.374077566;113504;14799595.82;26056
12.5;15277906.34;2738562.664;4591313.566;532;0.179249866;0.373616495;114860;15277906.34;26365
12.75;15756520.22;2819136.466;4884126.688;538;0.178918722;0.365966527;116044;15756551.89;26571
13;16195736.22;2891500.881;4852076.065;549;0.178534698;0.37340636;117533;16195736.22;26796
13.25;16605648.12;2976240.619;5073137.43;574;0.179230621;0.369747899;120033;16605648.12;26912
13.5;17068227.6;3075528.728;5403975.29;585;0.180190281;0.362701488;122995;17068360.55;27164
13.75;17679676.43;3503076.071;5678292.058;596;0.198141413;0.381541838;124628;17679676.43;27363
14;18209534.58;3610612.489;5946380.547;609;0.198281426;0.377797962;126500;18209534.58;27654
14.25;18821900.83;3709883.93;6474822.295;625;0.197104637;0.364260279;128993;18821900.83;28140
14.5;19392071.92;3542752.771;6502442.267;631;0.182690781;0.352681332;130538;19392071.92;28397
14.75;20082619.36;3940839.318;6826266.448;640;0.19623134;0.366007301;132945;20082619.36;28606
15;20621543.49;4142938.228;7626433.372;651;0.200903401;0.352010147;135323;20629190.45;28816
15.25;21265398.88;4250744.1;7927372.714;666;0.199890165;0.349047736;137787;21265717.21;29233
15.5;21876573.95;4395439.17;7932577.283;678;0.200919905;0.356540664;139735;21880656.28;29646
15.75;22280949.92;4465322.499;8209045.117;684;0.20040988;0.352311266;140853;22280949.92;29772
16;22813606.24;4251404.015;8280489.205;691;0.186353879;0.339246747;142061;22813606.24;29930
16.25;23431281.1;4716221.312;8474729.858;699;0.20127885;0.35753459;143951;23437319.63;30228
16.5;24145983.64;4949442.885;8485629.458;723;0.204979965;0.368397189;147538;24152022.18;30620
16.75;24706460.59;5023051.408;8666546.624;738;0.203309227;0.366924682;148974;24709621.44;30822
17;25340397.27;5169744.656;8949347.138;755;0.204011981;0.366152776;151515;25346435.81;31231
17.25;25944508.42;5267455.403;9098250.995;763;0.203027759;0.366668736;153041;25944508.42;31401
17.5;26541919.03;5416136.879;9403011.592;767;0.204059732;0.365482328;154926;26541919.03;31586
17.75;27101253.41;5542086.681;9614747.797;785;0.204495585;0.36564935;156888;27107291.94;31846
18;27745354.99;5596462.184;9824415.017;800;0.201708076;0.362914646;160142;27745354.99;32072
18.25;28343915.99;5702088.566;9798588.671;816;0.201175045;0.367860609;163887;28344327.22;32544
18.5;28994261.49;5985874.656;10061213.37;822;0.206450323;0.373019369;165127;29000300.74;32784
18.75;29598383.85;6152470.778;10329757.96;831;0.207865092;0.373279056;166296;29598384.01;32956
19;30222863.17;6312170.657;10135873.12;836;0.208854159;0.383764218;167709;30222863.42;33097
19.25;30839433.52;6407181.951;10127578.04;845;0.207759392;0.387497729;169493;30845472.05;33318
19.5;31553098.07;6585392.22;10799360.82;861;0.208708261;0.378802748;170697;31560129.53;33481
19.75;32202487.33;6767880.027;11097628.46;864;0.210166375;0.378823812;171753;32208620.77;33570
20;32864346.47;6911521.873;11474870.22;880;0.210304558;0.375904193;173284;32864346.47;33751
20.25;33561693.49;7063068.164;11480026.62;884;0.210450291;0.380900181;174748;33561700.64;33926
20.5;34146452.94;7170273.596;11532195.46;890;0.209985898;0.38338647;175951;34146452.94;34088
20.75;34718571.05;7132694.646;11512549.56;900;0.205443209;0.382547666;177245;34719032.58;34245
21;35321082.45;7175567.502;11667937.58;908;0.203152537;0.380797918;178450;35321082.45;34380
