hour; history_time        ;property_usage;class_usage
0; 2019-03-12 12:41:36 ;1;0
1; 2019-03-12 13:41:36 ;34;29
2; 2019-03-12 14:41:37 ;49;37
3; 2019-03-12 15:41:37 ;55;39
4; 2019-03-12 16:41:38 ;59;36
5; 2019-03-12 17:41:38 ;56;31
6; 2019-03-12 18:41:39 ;56;26
7; 2019-03-12 19:41:40 ;55;25
8; 2019-03-12 20:41:40 ;55;26
9; 2019-03-12 21:41:41 ;54;27
10; 2019-03-12 22:41:41 ;54;27
11; 2019-03-12 23:41:42 ;56;28
12; 2019-03-13 00:41:42 ;54;29
13; 2019-03-13 01:41:43 ;56;31
14; 2019-03-13 02:41:44 ;57;31
15; 2019-03-13 03:41:44 ;58;31
16; 2019-03-13 04:41:45 ;57;34
17; 2019-03-13 05:41:45 ;58;41
18; 2019-03-13 06:41:46 ;60;46
19; 2019-03-13 07:41:46 ;61;45
20; 2019-03-13 08:41:47 ;64;45
21; 2019-03-13 09:41:47 ;68;49
22; 2019-03-13 10:41:48 ;67;47
23; 2019-03-13 11:41:48 ;68;47
24; 2019-03-13 12:41:49 ;66;50
25; 2019-03-13 13:41:50 ;66;53
26; 2019-03-13 14:41:50 ;66;53
27; 2019-03-13 15:41:51 ;69;57
28; 2019-03-13 16:41:51 ;68;58
29; 2019-03-13 17:41:52 ;69;62
30; 2019-03-13 18:41:52 ;69;64
31; 2019-03-13 19:41:53 ;71;66
32; 2019-03-13 20:41:53 ;71;66
33; 2019-03-13 21:41:54 ;71;68
34; 2019-03-13 22:41:54 ;72;68
35; 2019-03-13 23:41:55 ;73;68
36; 2019-03-14 00:41:56 ;73;68
37; 2019-03-14 01:41:56 ;75;68
38; 2019-03-14 02:41:57 ;75;71
39; 2019-03-14 03:41:57 ;75;72
40; 2019-03-14 04:41:58 ;77;72
41; 2019-03-14 05:41:58 ;77;73
42; 2019-03-14 06:41:59 ;77;74
43; 2019-03-14 07:41:59 ;76;75
44; 2019-03-14 08:42:00 ;78;75
45; 2019-03-14 09:42:00 ;78;78
46; 2019-03-14 10:42:01 ;80;78
47; 2019-03-14 11:42:02 ;79;79
48; 2019-03-14 12:42:02 ;80;80
49; 2019-03-14 13:42:03 ;80;81
50; 2019-03-14 14:42:03 ;81;81
51; 2019-03-14 15:42:04 ;83;82
52; 2019-03-14 16:42:04 ;83;84
53; 2019-03-14 17:42:05 ;83;84
54; 2019-03-14 18:42:05 ;83;83
55; 2019-03-14 19:42:06 ;83;85
56; 2019-03-14 20:42:07 ;83;86
57; 2019-03-14 21:42:07 ;83;85
58; 2019-03-14 22:42:08 ;84;85
59; 2019-03-14 23:42:08 ;84;85
60; 2019-03-15 00:42:09 ;83;86
61; 2019-03-15 01:42:09 ;83;87
62; 2019-03-15 02:42:10 ;84;87
63; 2019-03-15 03:42:10 ;84;87
64; 2019-03-15 04:42:11 ;83;86
65; 2019-03-15 05:42:11 ;84;86
66; 2019-03-15 06:42:12 ;83;85
67; 2019-03-15 07:42:12 ;83;86
68; 2019-03-15 08:42:13 ;85;86
69; 2019-03-15 09:42:14 ;84;86
70; 2019-03-15 10:42:14 ;83;86
71; 2019-03-15 11:42:15 ;84;86
72; 2019-03-15 12:42:15 ;84;86
73; 2019-03-15 13:42:16 ;83;86
74; 2019-03-15 14:42:17 ;83;86
75; 2019-03-15 15:42:17 ;83;86
76; 2019-03-15 16:42:18 ;83;86
77; 2019-03-15 17:42:18 ;85;86
78; 2019-03-15 18:42:19 ;86;87
79; 2019-03-15 19:42:19 ;86;87
80; 2019-03-15 20:42:20 ;87;87
81; 2019-03-15 21:42:20 ;87;86
82; 2019-03-15 22:42:21 ;87;86
83; 2019-03-15 23:42:21 ;86;86
84; 2019-03-16 00:42:22 ;85;87
85; 2019-03-16 01:42:23 ;86;87
86; 2019-03-16 02:42:23 ;87;87
87; 2019-03-16 03:42:24 ;89;88
88; 2019-03-16 04:42:24 ;90;88
89; 2019-03-16 05:42:25 ;90;88
90; 2019-03-16 06:42:25 ;89;88
91; 2019-03-16 07:42:26 ;89;89
92; 2019-03-16 08:42:26 ;88;89
93; 2019-03-16 09:42:27 ;88;89
94; 2019-03-16 10:42:27 ;88;90
95; 2019-03-16 11:42:28 ;89;90
96; 2019-03-16 12:42:29 ;89;89
97; 2019-03-16 13:42:29 ;89;89
98; 2019-03-16 14:42:30 ;88;89
99; 2019-03-16 15:42:30 ;89;88
100; 2019-03-16 16:42:31 ;89;88
