time;top-50;top-100
1;11;11.9
2;17.5;19.6
3;21.5;24.9
4;23.8;28.1
5;26.6;31.7
6;27.7;34
7;29.4;36.9
8;30.6;38.8
9;31.9;40.7
10;33.1;42.9
11;34.1;44.5
12;34.8;46.2
13;35.7;47.8
14;37;49.4
15;36.9;49.9
16;37.6;51
17;38;52.3
18;38.5;53
19;38.5;53.1
20;38.5;53.2
21;39.5;53.7
22;39.8;53
23;38.7;53.3
24;39.2;54.1
25;39.2;54.1
26;39.7;53.6
27;39.8;54.3
28;39.7;54.8
29;40;54.4
30;40;55.1
31;40.7;55.8
32;41.2;56.1
33;40;56.1
34;41.6;56.8
35;41.6;57.2
36;41.5;57.3
37;43;57.8
38;41.9;56.9
39;42.5;58
40;42.4;57.9
41;43.1;58.8
42;43.5;59
43;43.3;59.5
44;43.9;61
45;44.4;60.4
46;44.5;60.9
47;45.1;61.8
48;45;62
49;44.2;61.7
50;44.4;61.6
51;44.1;61.9
52;45.4;63.7
53;45.6;63.5
54;45.2;63.2
55;45.1;63.3
56;45.5;63.4
57;45.8;64.2
58;45.9;64.6
59;45.9;64.6
60;46.1;65
61;46.2;65.2
62;46.3;65.6
63;46.2;66
64;46.3;66.3
65;46.7;66.3
66;46.8;66.3
67;47;66.8
68;47.1;67
69;47;67.1
70;47;67.3
71;47;67.6
72;47.3;68.1
73;47.2;68.6
74;47.2;69.2
75;47.2;69.2
76;47.3;69.6
77;47.3;69.8
78;47.4;70.4
79;47.5;70.6
80;47.4;70.7
81;47.7;70.6
82;47.5;70.3
83;47.4;70.2
84;47.5;70.3
85;47.3;70.5
86;46.9;70.9
87;47.2;70.3
88;46.8;70.3
89;47.2;70.7
90;47.3;70.8
91;47.3;70.6
92;47.5;70.9
93;47.3;70.7
94;47.2;70.4
95;47.3;70.6
96;47.2;71.2
97;47.2;70.2
98;47.3;69.9
99;47.1;70.5
100;47.1;70.2
